id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
9,n**2+20,-n**2+20,0.5,1000.0,False,50,20,100,1.0,50,50,1.0,98,5,2,143837.654197,-1.5064542397182605,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,100,100,1.0,200,200,1.0,1080,5,2,1766848.309049,-1.0594167707230535,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,276,5,2,608897.713278,-1.6831569745492263,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,200,200,1.0,958,5,2,2291667.144308,-0.5064480759183003,,,0
4,n**5,-n**5,0.5,100.0,False,50,100,100,1.0,50,200,1.0,802,5,2,1259613.41277,-3.778858681243475,,,0
5,n,-n,0.5,10.0,False,50,100,100,1.0,200,200,1.0,1004,5,2,2037736.374282,-1.0388776628048817,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,200,200,1.0,1134,5,2,1950215.991963,-0.7751540402036824,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,50,200,1.0,768,5,2,1205791.733079,-0.5265625438338071,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,20,100,1.0,50,50,1.0,86,5,2,134796.707454,-1.5110518716381331,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,200,1.0,890,5,2,1391954.072786,-1.0498962930708875,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,288,5,2,589066.679203,-1.7505028983147488,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,100,100,1.0,200,200,1.0,966,5,2,1772373.037272,-0.7043877963534094,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,200,200,1.0,484,5,2,1202296.969268,-1.765105931102857,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,682,5,2,270275.521415,-2.115456975064897,,,0
