id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,20,100,1.0,50,200,1.0,381,5,2,941945.170215,-0.7684563405520688,,,0
7,n,-n,0.5,10000.0,True,50,20,100,1.0,50,400,1.0,1787,5,2,1869041.015796,-1.0175620341261313,20100253.08508591,268528.3030756201,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,400,1.0,1762,5,2,1737667.578474,-1.1050940805063214,,,0
4,n**5,-n**5,0.5,100.0,False,50,100,100,1.0,50,50,1.0,620,5,2,220134.478467,-3.3249738545531984,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,702,5,2,310163.405301,-2.11597652322578,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,400,1.0,1840,5,2,2431672.323973,-1.0640524071980195,,,0
2,n,-n,0.5,100.0,True,50,100,100,1.0,400,400,1.0,1357,5,2,8898413.641096,-1.020479332766345,12507195.228891823,197793.86598448755,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,400,400,1.0,1518,5,2,8382002.866751,-0.9066536756400733,,,0
6,n,-n,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1014,5,2,1908728.424222,-1.0534293562728647,,,0
4,n**5,-n**5,0.5,100.0,True,50,100,100,1.0,200,200,1.0,999,5,2,2007051.36929,-1.375419619442762,1349.36718399318,234.58681184401925,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,400,400,1.0,1332,5,2,9398523.452778,-0.5470470116053093,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,654,5,2,220120.530549,-1.5106198457943028,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,True,50,100,100,1.0,400,400,1.0,1505,5,2,9309565.320402,-1.0732761237786321,408921057.68599623,13899980.22486108,0
6,n,-n,0.5,1000.0,True,50,100,100,1.0,400,400,1.0,1395,5,2,8246541.777395,-1.0349069137520026,9075606.382044042,251086.65223694564,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,100,100,1.0,200,200,1.0,1139,5,2,2563244.45073,-0.7732633118326705,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,True,50,20,100,1.0,50,400,1.0,1873,5,2,2471578.178246,-1.140054239798886,3059542.260989065,222541.23409954857,0
2,n,-n,0.5,100.0,False,50,100,100,1.0,200,200,1.0,976,5,2,2052514.076501,-1.0443922324131374,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,200,200,1.0,1124,5,2,2168828.860922,-1.1857825974454954,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,True,50,20,100,1.0,50,200,1.0,275,5,2,625148.516523,-1.1589490115815857,231302.01114951016,23596.499334439304,0
4,n**5,-n**5,0.5,100.0,False,50,100,100,1.0,400,400,1.0,1378,5,2,9458586.56688,-3.9394437614213147,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1060,5,2,2780578.591867,-1.7525059726087526,,,0
3,n**2,-n**2,0.5,100.0,True,50,100,100,1.0,400,400,1.0,1369,5,2,9173251.949582,-1.1683062382682277,18052.110813279338,1957.1876693829026,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,200,200,1.0,1022,5,2,1771798.635181,-1.0583135115384148,,,0
5,n,-n,0.5,10.0,True,50,100,100,1.0,200,200,1.0,1007,5,2,1887393.477791,-1.0131777705663492,68803405.95837958,703619.4861526451,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,20,100,1.0,50,400,1.0,1800,5,2,1752368.907357,-1.821188483026021,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,100,100,1.0,400,400,1.0,1344,5,2,8506836.442394,-0.7420624090181138,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,662,5,2,216192.424247,-1.5059437310409707,,,0
